Por favor, ingrese un archivo de prueba seguido de ENTER: Tests/top-spin-17-4-easy.txt
Instancia                                        Resuelto        Tiempo      Nodos Expandidos   Distancia
3 2 6 5 4 9 8 7 1 10 11 12 13 14 15 0 16         Verdadero       1.7e-05 ms      12              5
14 2 13 3 7 6 5 4 11 10 9 8 12 15 0 1 16         Verdadero       3e-05 ms        16              7
0 4 3 2 1 5 14 9 8 6 7 10 13 11 15 12 16         Verdadero       0.001929 ms     2692            9
0 13 1 5 6 15 14 4 12 3 9 8 11 10 7 2 16         Verdadero       0.014072 ms     20396           11
15 2 3 4 5 8 1 11 6 9 14 13 7 10 12 0 16         Verdadero       4.3e-05 ms      28              7
2 1 0 4 3 8 7 6 5 12 11 15 10 9 13 14 16         Verdadero       0.00335 ms      4910            9
13 1 0 5 3 4 6 7 11 12 8 9 10 2 14 15 16         Verdadero       0.002047 ms     2760            9
3 12 1 2 4 0 11 15 9 10 6 5 13 14 7 8 16         Verdadero       0.001567 ms     2418            9
0 6 5 4 11 8 7 1 12 14 2 15 10 13 9 3 16         Verdadero       0.010555 ms     13136           11
15 7 10 9 13 14 1 0 3 2 5 4 11 6 8 12 16         Verdadero       9.3e-05 ms      56              7
12 2 11 0 15 10 1 3 4 5 14 13 6 7 8 9 16         Verdadero       0.00022 ms      130             9
2 7 6 5 1 8 4 10 9 14 13 12 3 11 0 15 16         Verdadero       3.3885 ms       3529218         13
6 15 14 4 12 13 9 7 10 3 8 11 0 5 1 2 16         Verdadero       1.30771 ms      1880592         13
13 0 1 15 14 2 6 5 4 3 7 10 9 8 12 11 16         Verdadero       0.000116 ms     82              7
12 4 0 5 2 1 6 8 13 14 7 11 3 10 9 15 16         Verdadero       4.29559 ms      4777214         13
3 13 4 0 14 15 8 5 12 1 7 11 10 9 6 2 16         Verdadero       0.330556 ms     314652          13
2 9 10 3 4 0 7 6 5 1 8 12 11 14 13 15 16         Verdadero       9.9e-05 ms      86              7
6 5 14 10 15 1 12 0 8 4 9 2 11 7 13 3 16         Verdadero       0.129961 ms     135942          13
11 0 1 2 15 4 5 8 9 10 6 7 12 13 14 3 16         Verdadero       0.003526 ms     5002            9
15 10 7 8 6 9 13 14 1 0 3 2 5 4 11 12 16         Verdadero       0.000544 ms     620             8
12 2 5 13 1 6 7 3 15 0 8 10 9 4 14 11 16         Verdadero       127.143 ms      113554260       15
8 15 14 4 9 13 11 7 12 0 6 10 3 5 2 1 16         Verdadero       171.667 ms      158218694       15
11 10 15 14 13 9 1 0 2 6 5 12 7 3 4 8 16         Verdadero       0.14049 ms      145270          12
4 6 5 13 0 15 14 9 7 2 1 10 11 3 12 8 16         Verdadero       8.69172 ms      6598914         14
1 13 6 2 3 15 8 5 4 14 9 11 10 7 12 0 16         Verdadero       0.182494 ms     162452          12
10 14 5 6 15 1 12 0 8 4 9 13 3 2 11 7 16         Verdadero       2.60131 ms      2040148         14
0 1 2 3 11 12 8 9 10 13 4 15 14 6 5 7 16         Verdadero       3.87418 ms      3902906         12
4 14 9 5 6 12 13 0 15 8 3 10 1 7 2 11 16         Verdadero       5.0895 ms       4259052         14
13 4 0 8 2 1 15 3 7 14 12 6 10 9 5 11 16         Verdadero       156.241 ms      136759886       15
15 4 5 12 11 10 7 8 14 13 9 6 1 0 3 2 16         Verdadero       0.343722 ms     539560          11
1 10 6 2 5 9 3 7 12 13 14 8 0 11 4 15 16         Verdadero       2.25255 ms      2059852         13
2 15 6 5 10 13 12 1 14 4 7 9 3 11 8 0 16         Verdadero       151.03 ms       168113574       15
