Por favor, ingrese un archivo de prueba seguido de ENTER: ../Tests/15_puzzle_100_instances_korf.txt
Instancia                                Resuelto        Tiempo         Nodos Expandidos   Distancia
14 4 0 10 6 5 1 3 9 2 13 15 12 7 8 11    Verdadero       0.960922 ms     3780854                 48
15 10 8 3 0 6 9 5 1 14 13 11 7 2 12 4    Verdadero       5.79222 ms      21852130                57
0 13 2 4 12 14 6 9 15 1 10 3 11 5 8 7    Verdadero       0.842267 ms     3174074                 54
3 14 13 6 4 15 8 9 5 12 10 0 2 7 1 11    Verdadero       0.188745 ms     840658                  53
0 1 9 7 11 13 5 3 14 12 4 2 8 6 10 15    Verdadero       0.007791 ms     42410                   42
11 0 15 8 13 12 3 5 10 1 4 6 14 9 7 2    Verdadero       4.2908 ms       15952818                57
13 0 9 12 11 6 3 5 15 8 1 10 4 14 2 7    Verdadero       0.1702 ms       586728                  53
14 10 2 1 13 9 8 11 7 3 6 12 15 5 4 0    Verdadero       142.826 ms      462411014               62
12 3 9 1 4 5 10 2 6 11 15 0 14 7 13 8    Verdadero       1.01955 ms      4113120                 49
15 8 10 7 0 12 14 1 5 9 6 3 13 11 4 2    Verdadero       2.51911 ms      9253762                 55
4 7 13 10 1 2 9 6 12 8 14 5 3 0 11 15    Verdadero       0.035914 ms     174614                  44
6 0 5 10 11 12 9 2 1 7 4 3 14 8 13 15    Verdadero       0.091 ms        377336                  45
9 5 11 10 13 0 2 1 8 6 14 12 4 7 3 15    Verdadero       4.21359 ms      15995776                52
